,auc,f1,acc,bacc,precision,sensitivity,specificity,avgprec,ece,mce,n,pos%
fam_0,0.9684095860566448,0.787878787878788,0.9014084507042254,0.8545751633986928,0.8125,0.7647058823529411,0.9444444444444444,0.9244574823011611,0.1272548260823102,0.2296704908212026,71,0.23943661971830985
fam_10,0.9348184818481848,0.7692307692307692,0.904,0.8770627062706271,0.7142857142857143,0.8333333333333334,0.9207920792079208,0.8539762897312796,0.12038438713550569,0.2275855673684014,125,0.192
fam_14,0.925,0.7441860465116279,0.8804347826086957,0.851388888888889,0.6956521739130435,0.8,0.9027777777777778,0.8515839947089949,0.12912043281223462,0.29893371888569426,92,0.21739130434782608
fam_1,0.9857859531772575,0.9195402298850575,0.9435483870967742,0.9283723522853957,0.975609756097561,0.8695652173913043,0.9871794871794872,0.9790721553902659,0.13362894645862042,0.3064579963684082,124,0.3709677419354839
fam_30,0.9722222222222223,0.9,0.9565217391304348,0.9361111111111111,0.9,0.9,0.9722222222222222,0.9226072750023191,0.1270314046870107,0.18381246356737047,92,0.21739130434782608
fam_32,0.9756944444444444,0.8571428571428571,0.9242424242424242,0.8958333333333334,0.8823529411764706,0.8333333333333334,0.9583333333333334,0.9429731600927254,0.09671495967742168,0.15582822958628337,66,0.2727272727272727
fam_7,0.9637096774193549,0.84375,0.9029126213592233,0.8938172043010753,0.8181818181818182,0.8709677419354839,0.9166666666666666,0.9463817936663581,0.12736164742303124,0.22179586688677472,103,0.30097087378640774
fam_33,0.9880952380952381,0.6666666666666666,0.8870967741935484,0.75,1.0,0.5,1.0,0.9661846925004819,0.12614817220357158,0.502409964799881,62,0.22580645161290322
fam_43,0.9566666666666668,0.8799999999999999,0.918918918918919,0.9183333333333333,0.8461538461538461,0.9166666666666666,0.92,0.9243374279587513,0.11577123020951816,0.2170889335019248,74,0.32432432432432434
fam_3,0.946834872719081,0.8292682926829269,0.9675925925925926,0.8669745438161748,0.9444444444444444,0.7391304347826086,0.9948186528497409,0.8826661318815474,0.08260721037233318,0.22498666577868986,216,0.10648148148148148
