,auc,f1,acc,bacc,precision,sensitivity,specificity,avgprec,brier,ece,mce,layers
model-positive-11-adamw-lc3-2021-10-05,0.9146004165039698,0.7708333333333333,0.88,0.8291194845763374,0.8409090909090909,0.7115384615384616,0.9467005076142132,0.8541212280780276,0.10067022062503664,0.06625231170857494,0.1272748510042826,3
model-positive-12-adamw-lc6-2021-10-05,0.9305121697253677,0.7586206896551725,0.8727272727272727,0.8221072497722244,0.8208955223880597,0.7051282051282052,0.9390862944162437,0.8568955816352439,0.09697497385930154,0.05089373648843982,0.11087614839727233,6
model-positive-15-adamw-lc2-2021-10-05,0.9098496680983991,0.7216494845360825,0.8527272727272728,0.7984673955486139,0.7777777777777778,0.6730769230769231,0.9238578680203046,0.8377461802105316,0.10797782338099547,0.06638202566992153,0.11225115794401908,2
model-positive-17-adamw-lc4-2021-10-05,0.9050826500065079,0.7615894039735099,0.8690909090909091,0.829249642066901,0.7876712328767124,0.7371794871794872,0.9213197969543148,0.8374454988017419,0.10390090569756522,0.06140798476609316,0.2801409991163957,4
model-positive-21-adamw-lc7-2021-10-05,0.9254197579070677,0.7517241379310345,0.8690909090909091,0.8176330860341012,0.8134328358208955,0.6987179487179487,0.9365482233502538,0.8511259542461704,0.10021086486972482,0.05160252749919891,0.08640240174587643,7
model-positive-7-adamw-lc5-2021-10-05,0.9289828192112456,0.7299270072992702,0.8654545454545455,0.797670180918912,0.847457627118644,0.6410256410256411,0.9543147208121827,0.869509675196887,0.09566753134247286,0.06732966824350031,0.36184099316596985,5
model-positive-8-adamw-lc1-2021-10-05,0.9163250032539373,0.7414965986394557,0.8618181818181818,0.8125569439021215,0.7898550724637681,0.6987179487179487,0.9263959390862944,0.8530115779099363,0.1047757429550905,0.07046186553822323,0.20908838510513306,1
model-positive-8-adamw-lc1-2021-10-05-without-dropout,0.8994533385396329,0.6867924528301886,0.8490909090909091,0.768824027072758,0.8348623853211009,0.5833333333333334,0.9543147208121827,0.8248681635534978,0.11002402607621055,0.051523225876418034,0.1728351351240991,1
model-positive-8-adamw-lc1-2021-10-05-without-soft-label,0.8527105297409866,0.5233644859813085,0.8145454545454546,0.6769491084211896,0.9655172413793104,0.358974358974359,0.9949238578680203,0.7728657558593093,0.1444994759881197,0.08677236724983561,0.3593207001686096,1
model-positive-8-adamw-lc1-2021-10-05-without-soft-label-slope,0.921401145385917,0.4903846153846154,0.8072727272727273,0.6621925029285436,0.9807692307692307,0.3269230769230769,0.9974619289340102,0.8542282176068929,0.16277465254816145,0.1798674364523454,0.4945583939552307,1
model-positive-8-adamw-lc1-2021-10-05-without-lambdas,0.9158206429780034,0.7397260273972601,0.8618181818181818,0.8106208512299883,0.7941176470588235,0.6923076923076923,0.9289340101522843,0.8481494888217366,0.10648481330387861,0.07365519762377849,0.27583305625354543,1
model-positive-8-adamw-lc1-2021-10-05-without-wd,0.9155765976831968,0.7440273037542662,0.8636363636363636,0.8138259794351165,0.7956204379562044,0.6987179487179487,0.9289340101522843,0.850106689449198,0.10557562271944465,0.07226373476060954,0.18865046898523968,1
model-positive-8-adamw-lc1-2021-10-05-without-flood-penalty,0.917805544709098,0.7465753424657534,0.8654545454545455,0.8150950149681113,0.8014705882352942,0.6987179487179487,0.9314720812182741,0.8531130677259735,0.10369077190496227,0.06886293487454002,0.15780373811721804,1
model-positive-15-adamw-lc2-2021-10-05-without-wd,0.9102564102564102,0.7389830508474576,0.86,0.8112879083691267,0.7841726618705036,0.6987179487179487,0.9238578680203046,0.8382479432995985,0.10820637298371798,0.0813096932321787,0.18126839399337769,2
